,Trend,Retweet,Like,Reply,Start Time
924,#earthday2021,-15.376237392425537,-13.257425308227539,0.3861386179924011,2021-04-25 10:51:00+00:00
925,#businessowner,-15.792079210281372,-4.683168292045593,-0.9504950493574142,2021-04-25 04:40:41+00:00
926,#webdevelopment,-15.792079210281372,-4.683168292045593,-0.9504950493574142,2021-04-25 04:40:41+00:00
927,#programmer,-15.792079210281372,-4.683168292045593,-0.9504950493574142,2021-04-25 04:40:41+00:00
928,#softwareengineer,-15.792079210281372,-4.683168292045593,-0.9504950493574142,2021-04-25 04:40:41+00:00
929,#coordicide,-15.88118839263916,-128.97029876708984,-1.0594059228897095,2021-04-25 17:36:14+00:00
930,#minería,-15.900990009307861,-29.00990104675293,0.6534653306007385,2021-04-25 18:41:08+00:00
931,#coin,-15.910890579223633,-12.257423400878906,0.7623763084411621,2021-04-25 16:53:05+00:00
932,#sfm,-15.92079210281372,-31.485148429870605,0.6534653902053833,2021-04-25 20:10:01+00:00
933,#education,-16.336633682250977,-29.83168315887451,-3.3663366436958313,2021-04-25 19:13:19+00:00
934,#sec,-16.91089105606079,-66.74257469177246,-3.9405940771102905,2021-04-25 04:02:27+00:00
935,#iov,-16.91089105606079,-66.74257469177246,-3.9405940771102905,2021-04-25 04:02:27+00:00
936,#xrpcommunity,-16.91089105606079,-66.74257469177246,-3.9405940771102905,2021-04-25 04:02:27+00:00
937,#btcturk,-17.00990104675293,-684.6930694580078,4.326732635498047,2021-04-25 13:44:30+00:00
938,#avax,-17.14851474761963,224.75250244140625,16.841583251953125,2021-04-25 19:15:35+00:00
939,#hyperinflation,-17.237623691558838,-58.25742721557617,-3.7425742149353027,2021-04-25 14:26:30+00:00
940,#nexus,-17.316831588745117,-22.03960418701172,-0.29702967405319214,2021-04-25 00:20:10+00:00
941,#plura,-17.475247502326965,-16.445544481277466,-15.504950493574142,2021-04-25 14:11:31+00:00
942,#pluracoin,-17.475247502326965,-16.445544481277466,-15.504950493574142,2021-04-25 14:11:31+00:00
943,#cryptogiveaway,-17.475247502326965,-16.445544481277466,-15.504950493574142,2021-04-25 14:11:31+00:00
944,#btcusd,-17.811881065368652,-121.554443359375,-9.673267364501953,2021-04-25 02:24:49+00:00
945,#xmadn,-17.910890579223633,-3.2574234008789062,0.7623763084411621,2021-04-25 20:18:44+00:00
946,#ipfs,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 09:09:13+00:00
947,#blockchain,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 00:50:00+00:00
948,#datastorage,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 22:29:04+00:00
949,#masternode,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 22:29:04+00:00
950,#pacprotocol,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 22:29:04+00:00
951,#pac,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 22:29:04+00:00
952,#wolfpac,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 22:29:04+00:00
953,#yandna,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 22:29:04+00:00
954,#flare,-17.940593957901,-96.52475261688232,-15.198019802570343,2021-04-25 22:29:04+00:00
955,#xend,-18.6930693089962,-59.95049500465393,-6.653465360403061,2021-04-25 10:14:52+00:00
956,#paxos,-18.6930693089962,-59.95049500465393,-6.653465360403061,2021-04-25 10:14:52+00:00
957,#bch,-18.86138617992401,-53.653465270996094,-7.079207897186279,2021-04-25 11:38:47+00:00
958,#dogecoinrise,-19.277227878570557,-79.99009895324707,-44.20792078971863,2021-04-25 04:55:35+00:00
959,#dogecoins,-19.277227878570557,-79.99009895324707,-44.20792078971863,2021-04-25 03:15:34+00:00
960,#dot,-19.336633682250977,-34.83168315887451,-2.3663366436958313,2021-04-25 07:10:05+00:00
961,#ltc,-19.336633682250977,-34.83168315887451,-2.3663366436958313,2021-04-25 11:15:33+00:00
962,#neo,-19.336633682250977,-34.83168315887451,-2.3663366436958313,2021-04-25 11:15:33+00:00
963,#banking,-19.376237392425537,-44.25742530822754,-0.6138613820075989,2021-04-25 01:50:00+00:00
964,#iot,-19.376237392425537,-44.25742530822754,-0.6138613820075989,2021-04-25 00:50:00+00:00
965,#fintech,-19.376237392425537,-44.25742530822754,-0.6138613820075989,2021-04-25 00:50:00+00:00
966,#finserv,-19.376237392425537,-44.25742530822754,-0.6138613820075989,2021-04-25 00:50:00+00:00
967,#insurtech,-19.376237392425537,-44.25742530822754,-0.6138613820075989,2021-04-25 00:50:00+00:00
